,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,56,,56,56,56,,56,56,56,56,56,,56,56,56,56,,,56,,56,,,56,
,56,56,56,56,56,56,56,,56,56,56,56,56,,56,56,56,56,,,56,,56,,,56,
,56,56,56,56,56,56,56,,56,56,56,56,56,,56,56,56,56,56,56,56,,56,56,56,56,
,56,56,56,56,56,56,56,,56,56,56,56,56,,56,56,56,56,56,56,56,,56,56,56,56,
,56,56,56,56,56,56,56,,,,,,56,,,,,,,,56,,56,,,,
,56,56,56,56,56,56,56,56,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
,70,,,,,,,,56,,,,,,28,,,,,,,,,,,,
,70,70,70,70,,56,56,56,56,,70,70,70,,28,28,28,28,28,28,28,28,14,14,14,14,
,70,70,70,70,,56,56,56,56,,70,70,70,,28,28,28,,,28,28,28,,14,14,14,
,70,70,70,70,,,,56,56,,70,70,70,,28,28,,,,,28,28,,14,14,14,
,70,70,70,70,,,,56,56,,70,70,70,,28,28,28,,,28,28,28,,14,14,14,
,70,70,70,70,,56,56,56,56,70,70,70,70,,28,28,28,28,28,28,28,28,,14,14,0,
,70,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
